LocalDateTime,Flow (cfs),Temperture (C)
2016-10-30 07:00:00,4.049309,8.419000
2016-10-30 07:15:00,4.049309,8.419000
2016-10-30 07:30:00,4.049309,8.394000
2016-10-30 07:45:00,4.105942,8.369000
2016-10-30 08:00:00,4.247527,8.369000
2016-10-30 08:15:00,4.190893,8.344000
2016-10-30 08:30:00,3.907724,8.344000
2016-10-30 08:45:00,4.190893,8.344000
2016-10-30 09:00:00,4.247527,8.344000
2016-10-30 09:15:00,3.992675,8.319000
2016-10-30 09:30:00,4.105942,8.344000
2016-10-30 09:45:00,4.049309,8.344000
2016-10-30 10:00:00,4.049309,8.344000
2016-10-30 10:15:00,4.105942,8.344000
2016-10-30 10:30:00,3.907724,8.344000
2016-10-30 10:45:00,3.992675,8.394000
2016-10-30 11:00:00,3.907724,8.394000
2016-10-30 11:15:00,3.907724,8.419000
2016-10-30 11:30:00,3.907724,8.444000
2016-10-30 11:45:00,3.851091,8.444000
2016-10-30 12:00:00,3.794457,8.469000
2016-10-30 12:15:00,3.794457,8.494000
2016-10-30 12:30:00,3.794457,8.543000
2016-10-30 12:45:00,3.851091,8.543000
2016-10-30 13:00:00,3.907724,8.568000
2016-10-30 13:15:00,3.907724,8.593000
2016-10-30 13:30:00,3.851091,8.643000
2016-10-30 13:45:00,3.907724,8.693000
2016-10-30 14:00:00,3.907724,8.742000
2016-10-30 14:15:00,3.907724,8.817000
2016-10-30 14:30:00,3.851091,8.866000
2016-10-30 14:45:00,3.851091,8.941000
2016-10-30 15:00:00,3.907724,9.015000
2016-10-30 15:15:00,3.851091,9.064000
2016-10-30 15:30:00,3.851091,9.089000
2016-10-30 15:45:00,3.907724,9.139000
2016-10-30 16:00:00,3.794457,9.163000
2016-10-30 16:15:00,3.907724,9.213000
2016-10-30 16:30:00,3.907724,9.238000
2016-10-30 16:45:00,3.794457,9.262000
2016-10-30 17:00:00,3.907724,9.312000
2016-10-30 17:15:00,3.907724,9.336000
2016-10-30 17:30:00,3.992675,9.336000
2016-10-30 17:45:00,4.105942,9.361000
2016-10-30 18:00:00,4.049309,9.386000
2016-10-30 18:15:00,4.190893,9.386000
2016-10-30 18:30:00,4.105942,9.410000
2016-10-30 18:45:00,4.105942,9.435000
2016-10-30 19:00:00,4.049309,9.435000
2016-10-30 19:15:00,4.049309,9.460000
2016-10-30 19:30:00,4.049309,9.460000
2016-10-30 19:45:00,3.992675,9.460000
2016-10-30 20:00:00,4.304160,9.485000
2016-10-30 20:15:00,4.190893,9.460000
2016-10-30 20:30:00,4.190893,9.460000
2016-10-30 20:45:00,4.190893,9.435000
2016-10-30 21:00:00,4.190893,9.410000
2016-10-30 21:15:00,4.190893,9.386000
2016-10-30 21:30:00,4.190893,9.386000
2016-10-30 21:45:00,4.190893,9.361000
2016-10-30 22:00:00,4.190893,9.336000
2016-10-30 22:15:00,4.105942,9.336000
2016-10-30 22:30:00,4.190893,9.336000
2016-10-30 22:45:00,4.190893,9.312000
2016-10-30 23:00:00,3.737823,9.287000
2016-10-30 23:15:00,3.539605,9.312000
2016-10-30 23:30:00,3.907724,9.287000
